EMBARGOHAVETRADELEAGUE;Мы состоим в одном торговом союзе!;Nous appartenons а la mкme ligue commerciale !;Wir sind in derselben Handelsliga!;;ЎEstamos en la misma liga comercial!;;;;;;;;;x;
DIPRELCH_TRADELEAGUE;Один и тот же торговый союз;Mкme ligue commerciale;Gleiche Handelsliga;;Misma liga comercial;;;;;;;;;x;
PROV_TRADE_LEAGUE;Часть §Y$COUNTRYADJ$ торгового союза§W;Membre de la ligue §Y$COUNTRYADJ$§W;Mitglied der §Y$COUNTRYADJ$ Liga§W;;Parte de la liga §Y$COUNTRYADJ$ §W;;;;;;;;;x;
COTTRADEAGCOMPETE;Наши купцы не будут конкурировать друг с другом - наши державы заключили торговое соглашение.;Grвce а notre accord commercial, nos marchands ne se feront pas concurrence.;Unsere Hдndler konkurrieren aufgrund unseres Handelsabkommens nicht;;Nuestros mercaderes no competirбn, dado nuestro acuerdo comercial;;;;;;;;;x;
COTLEAGUECOMPETE;Наши купцы не будут конкурировать друг с другом: обе наших державы входят в §Y$LEAGUE$ союз§W.;Nos marchands appartenant tous deux а la ligue §Y$LEAGUE$§W, ils йviteront de se faire concurrence.;Unsere Hдndler vermeiden es zu konkurrieren, da wir zusammen in der §Y$LEAGUE$ Liga§W sind.;;Nuestros mercaderes no compiten, puesto que ambos estamos en la liga §Y$LEAGUE$ §W.;;;;;;;;;x;
MERCANTILE_DIPLO;Контролирует §Yторговый союз§W\nМожет получать §Yправа на торговлю§W;Contrфle une §Yligue commerciale§W\nPeut rйclamer des §Ydroits commerciaux§W;Kontrolliert eine §YHandelsliga§W\nKann um §YHandelsrechte§W bitten;;Controla una §Yliga comercial§W\nPuedes pedir §Yderechos comerciales§W;;;;;;;;;x;
GOV_TRIBAL_WOES;Кризисы наследования в племени;Crises de succession tribales;Thronfolgerkrise im Stamm;;Crisis de sucesiуn tribal;;;;;;;;;x;
CCOT_LEAGUE_LIMIT;Мы не можем создавать торговые центры, являясь частью торгового союза.;Vous ne pouvez pas crйer de centre de commerce tant que vous кtes membre d’une ligue commerciale.;Ihr kцnnt kein Handelszentrum erschaffen, wenn ihr in einer Handelsliga seit.;;No puedes crear un centro de comercio mientras formes parte de una liga comercial.;;;;;;;;;x;
HRE_DECISIONS;Имперские реформы;Rйformes impйriales;Reichsreformen;;Reformas imperiales;;;;;;;;;x;
ALL_OWNED_PROVS;Все провинции во владении;toutes les provinces possйdйes;alle Provinzen in Besitz;;todas las provincias poseнdas;;;;;;;;;x;
EVTNAME1093;Закрытие торговой конторы;Fermeture des comptoirs de la ligue;Handelsligastationen schlieЯen;;Cierre de puestos comerciales de la liga;;;;;;;;;x;
EVTDESC1093;Поскольку мы больше не состоим в торговом союзе, все соответствующие конторы на нашей территории вынуждены закрыться.;Tous les comptoirs de notre territoire ferment leurs portes, car nous n’appartenons plus а aucune ligue commerciale.;Da wir uns nicht lдnger in der Handelsliga befinden, schlieЯen alle ihre Station in unserem Land.;;Como ya no pertenecemos a una liga comercial, todos los puestos de comercio de nuestro territorio cierran.;;;;;;;;;x;
EVTOPTA1093;Скатертью дорога!;Bon dйbarras !;So soll es auch sein!;;ЎDe buena nos libramos!;;;;;;;;;x;
EVTNAME1094;Открытие торговой конторы;Comptoir fondй;Handelsstation gegrьndet.;;Puesto comercial fundado;;;;;;;;;x;
EVTDESC1094;В интересах нашего $LEAGUE_ADJ$ торгового союза в провинции $PROVINCENAME$ была открыта торговая контора.;Les marchands de la ligue $LEAGUE_ADJ$ ont dйcidй d’ouvrir un comptoir en $PROVINCENAME$.;Aufgrund von Hдndlerinteressen innerhalb der $LEAGUE_ADJ$ Liga haben wir beschlossen, eine Handelsstation in $PROVINCENAME$ zu erцffnen.;;Intereses mercantiles dentro de la liga $LEAGUE_ADJ$ han decidido abrir un puesto de comercio en $PROVINCENAME$.;;;;;;;;;x;
EVTOPTA1094;Торговля - это хорошо!;Vive le commerce !;Handel ist gut!;;ЎEl comercio es bueno!;;;;;;;;;x;
league_kontor;Торговая контора;Comptoir;Handelsstation;;Puesto de comercio;;;;;;;;;x;
desc_league_kontor;Наш торговый союз открыл в этой провинции свою контору.;Notre ligue commerciale a йtabli un comptoir ici.;Unsere Handelsliga hat hier eine Handelsstation gegrьndet;;Nuestra liga comercial ha establecido aquн un puesto de comercio.;;;;;;;;;x;
IN_TRADE_LEAGUE;Входит в торговый союз;Est membre de la ligue commerciale;Ist in einer Handelsliga;;Estб en la liga comercial;;;;;;;;;x;
NOT_IN_TRADE_LEAGUE;НЕ входит в торговый союз;N’est PAS membre de la ligue commerciale;Ist NICHT in einer Handelsliga;;NO estб en la liga comercial;;;;;;;;;x;
alert_disputed_succession_instant;§YСпоры о порядке наследования!§W;§YSuccession contestйe §W;§YUmkдmpfte Nachfolge§W;;§Ysucesiуn disputada§W;;;;;;;;;x;
alert_disputed_succession_delayed;В следующих странах нет наследника с достаточно обоснованными правами на престол:\n$LIST$;Les pays suivants n’ont pas d’hйritier suffisamment lйgitime :\n$LIST$;Die folgenden Nationen haben keine Thronfolger mit gutem Anspruch:\n$LIST$;;Los siguientes paнses carecen de herederos con aspiraciones fundadas:\n$LIST$;;;;;;;;;x;
ACTRARIWITHUS_SETUP;Держава предоставляет нам право на торговлю;Lorsqu’une autre nation accepte notre proposition de droits commerciaux;Wenn eine andere Nation die von uns angebotenen Handelsrechte annimmt;;Cuando otra naciуn acepta nuestra propuesta de derechos comerciales;;;;;;;;;x;
ACTRARIWITHUS_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett;Herold od;;;;;;x;
ACTRARIWITHUS_1;Право на торговлю!;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
ACTRARIWITHUS_2;$MONARCHTITLE$, держава;$MONARCHTITLE$, nous disposons dйsormais des;$MONARCHTITLE$, wir haben nun eklusive;;$MONARCHTITLE$, ahora tenemos exclusivos;;;;;;;;;x;
ACTRARIWITHUS_3;$RECIPIENT$ согласилась;droits commerciaux exclusifs sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechte§W;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x;
ACTRARIWITHUS_4;предоставить нам эксклюзивное право на;de;mit;z paсstwem;con;con:;a kцvetkezхvel:;s;;;;;;x;
ACTRARIWITHUS_5;§Yторговлю товаром $GOODS$§W.;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
ACTRARIWITHUS_6;Теперь все их провинции, производящие товар §Y$GOODS$§W, будут торговать через наши торговые центры.;L’ensemble de leurs §Y$GOODS$§W passera par nos centres de commerce.;Alle ihre §Y$GOODS$§W werden durch unseren Handelszentren gehandelt werden.;;Todos sus productos §Y$GOODS$§W se venderбn a travйs de nuestros centros de comercio.;;;;;;;;;x;
ACTRARIWITHUS_LOG;Держава $RECIPIENT$ предоставила нам право на торговлю товаром $GOODS$.;Nous disposons dйsormais de droits commerciaux sur les $GOODS$ de $RECIPIENT$.;Wir haben nun $GOODS$ Handelsrechte mit $RECIPIENT$.;;Tenemos $GOODS$ derechos comerciales con $RECIPIENT$.;;;;;;;;;x;
ACTRARIWITHUS_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
ACTRARIWITHUS_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
ACTRARIWITHUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Menj ide:;Pшejнt na;;;;;;x;
ACTRARIWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
OTHERTRADERI_SETUP;Одна держава предоставляет другой право на торговлю;Lorsqu’une nation йtrangиre accorde des droits commerciaux а une autre nation;Wenn eine andere Nation einer dritten Handelsrechte gewдhrt;;Cuando una naciуn extranjera concede derechos comerciales a otra naciуn;;;;;;;;;x;
OTHERTRADERI_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett;Herold od;;;;;;x;
OTHERTRADERI_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
OTHERTRADERI_2;сообщает, что держава;$MONARCHTITLE$, on nous informe que;$MONARCHTITLE$;Zostaliњmy poinformowani, їe;$MONARCHTITLE$, hemos sido informados de que;$MONARCHTITLE$, abbiamo saputo che;Arrуl йrtesьltьnk, hogy ;$MONARCHTITLE$, byli jsme informovбni, ћe;;;;;;x;
OTHERTRADERI_3;$RECIPIENT$ согласилась;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
OTHERTRADERI_4;предоставить им эксклюзивное право на;a accordй des droits commerciaux exclusifs sur les §Y$GOODS$§W а ;hat exklusive §Y$GOODS$ Handelsrechte§W vergeben an;;ha concedido exclusivos §Y$GOODS$ derechos comerciales§W a;;;;;;;;;x;
OTHERTRADERI_5;§Yторговлю товаром $GOODS$§W.;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x;
OTHERTRADERI_6;Теперь все их провинции, производящие товар §Y$GOODS$§W, будут торговать через $LEAGUEADJ$ торговые центры.;L’ensemble de leurs §Y$GOODS$§W passera par les centres de commerce $LEAGUEADJ$.;Alle ihre §Y$GOODS$§W werden nun durch die Handelszentren von $LEAGUEADJ$ gehandelt.;;Todos sus productos §Y$GOODS$§W se venderбn a travйs de centros comerciales de $LEAGUEADJ$.;;;;;;;;;x;
OTHERTRADERI_LOG;Держава $RECIPIENT$ предоставила державе $ACTOR$ право на торговлю товаром $GOODS$.;$RECIPIENT$ accorde dйsormais des droits commerciaux sur les $GOODS$ а $ACTOR$.;$RECIPIENT$ vergibt nun $GOODS$ Handelsrechte an$ACTOR$.;;$RECIPIENT$ concede ahora $GOODS$ derechos comerciales a $ACTOR$.;;;;;;;;;x;
OTHERTRADERI_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
OTHERTRADERI_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
OTHERTRADERI_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
OTHERTRADERI_MAP;*;*;*;*;*;*;*;;;;;;;x;
WETRADERI_SETUP;Мы предоставляем право на торговлю другой державе;Lorsque nous accordons des droits commerciaux exclusifs а une autre nation;Wenn wir Handelrechte an eine andere Nation vergeben;;Cuando concedemos derechos comerciales exclusivos a otra naciуn;;;;;;;;;x;
WETRADERI_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WETRADERI_1;Дано право на торговлю!;Droits commerciaux !;Handelsrechte;;ЎDerechos comerciales!;;;;;;;;;x;
WETRADERI_2;$MONARCHTITLE$, мы решили предоставить эксклюзивное право на;$MONARCHTITLE$, nous avons dйcidй d’accorder;$MONARCHTITLE$, wir vergeben nun;;$MONARCHTITLE$, hemos decidido conceder;;;;;;;;;x;
WETRADERI_3;§Yторговлю товаром $GOODS$§W;des droits commerciaux sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechte§W;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x;
WETRADERI_4;державе;а;an;;a;;;;;;;;;x;
WETRADERI_5;$ACTOR$.;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x;
WETRADERI_6;Теперь все наши провинции, производящие товар §Y$GOODS$§W, будут торговать через их торговые центры.;L’ensemble de nos $GOODS$ passera par leurs centres de commerce.;All unsere $GOODS$ werden durch ihre Handelszentren gehandelt werden.;;Todos nuestros $GOODS$ pasarбn por sus centros comerciales.;;;;;;;;;x;
WETRADERI_LOG;Мы предоставили право на торговлю товаром $GOODS$ державе $ACTOR$.;Nous avons accordй des droits commerciaux sur les $GOODS$ а $ACTOR$.;Wir vergaben $GOODS$ Handelsrechte an $ACTOR$.;;Hemos concedido derechos comerciales de $GOODS$ a $ACTOR$.;;;;;;;;;x;
WETRADERI_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WETRADERI_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
WETRADERI_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WETRADERI_MAP;*;*;*;*;*;*;*;;;;;;;x;
DETRARIWITHUS_SETUP;Держава отказывается предоставить нам право на торговлю;Lorsqu’une autre nation refuse notre proposition de droits commerciaux;Wenn eine andere Nation unser Handelsrechteangebot ablehnt;;Cuando otra naciуn rechaza nuestra propuesta de derechos comerciales;;;;;;;;;x;
DETRARIWITHUS_HEADER;Наш канцлер сообщает:;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk innen:;Herold od;;;;;;x;
DETRARIWITHUS_1;Отказ в праве на торговлю!;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
DETRARIWITHUS_2;$MONARCHTITLE$, мы с прискорбием сообщаем, что держава;$MONARCHTITLE$, nous sommes au regret de vous annoncer que;$MONARCHTITLE$, wir mьssen ihnen mitteilen, dass;;$MONARCHTITLE$, lamentamos informaros de que;;;;;;;;;x;
DETRARIWITHUS_3;$RECIPIENT$ отказалась;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x;
DETRARIWITHUS_4;предоставить нам эксклюзивное право на;a eu la bкtise de refuser de nous accorder les;die Vergabe von;;se ha negado estъpidamente a concedernos exclusivos;;;;;;;;;x;
DETRARIWITHUS_5;§Yторговлю товаром $GOODS$§W.;droits commerciaux exclusifs sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechten§W abgelehnt hat.;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x;
DETRARIWITHUS_6;*;*;*;*;*;*;*;;;;;;;x;
DETRARIWITHUS_LOG;Держава $RECIPIENT$ отказалась предоставить нам право на торговлю товаром $GOODS$.;$RECIPIENT$ a refusй de nous accorder des droits commerciaux sur les $GOODS$.;$RECIPIENT$ lehnte es ab, uns $GOODS$ Handelsrechte zu gewдhren.;;$RECIPIENT$ ha rehusado concedernos $GOODS$ derechos comerciales.;;;;;;;;;x;
DETRARIWITHUS_BTN1;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRARIWITHUS_BTN2;ОК;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRARIWITHUS_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
DETRARIWITHUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
DETRARIWITHOTHER_SETUP;Одна лержава отказывается предоставить право на торговлю другой;Lorsqu’une autre nation refuse d’accorder des droits commerciaux а une nation tierce;Wenn eine andere Nation es ablehnt, Handelsrechte an eine Dritte zu vergeben.;;Cuando otra naciуn rehъsa conceder derechos comerciales a una tercera;;;;;;;;;x;
DETRARIWITHOTHER_HEADER;Герольд державы;Message de l'ambassadeur :;Herold aus;Wysіannik paсstwa:;Heraldo de;Messaggero da;Hнrnцk йrkezett innen:;Herold od;;;;;;x;
DETRARIWITHOTHER_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
DETRARIWITHOTHER_2;сообщает, что они;$MONARCHTITLE$, $RECIPIENT$ a refusй d’accorder;$MONARCHTITLE$, $RECIPIENT$ lehnte die Vergabe von;;$MONARCHTITLE$, $RECIPIENT$ ha rehusado conceder;;;;;;;;;x;
DETRARIWITHOTHER_3;отказались предоставить право на торговлю;des droits commerciaux sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechten§W;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x;
DETRARIWITHOTHER_4;§Yтоваром $GOODS$§W державе;а;an;;a ;;;;;;;;;x;
DETRARIWITHOTHER_5;$ACTOR$.;$ACTOR$;$ACTOR$ ab;;$ACTOR$;;;;;;;;;x;
DETRARIWITHOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
DETRARIWITHOTHER_LOG;Держава $RECIPIENT$ отказалась предоставить право на торговлю товаром $GOODS$ державе $ACTOR$.;$RECIPIENT$ a refusй d’accorder des droits commerciaux sur les $GOODS$ а $ACTOR$.;$RECIPIENT$ lehnte es ab, $GOODS$ Handelsrechte an $ACTOR$ zu vergeben.;;$RECIPIENT$ ha rehusado conceder $GOODS$ derechos comerciales a $ACTOR$.;;;;;;;;;x;
DETRARIWITHOTHER_BTN1;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRARIWITHOTHER_BTN2;ОК;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x;
DETRARIWITHOTHER_BTN3;Перейти;Voir;GOTO;Idџ do;Ir a;Andare;Ugrбs;Pшejнt na;;;;;;x;
WEDETRARI_SETUP;Мы отказываемся предоставить право на торговлю другой державе;Lorsque nous refusons une proposition de droits commerciaux;Wenn wir ein Handelsrechteangebot ablehnen;;Cuando rechazamos una propuesta de derechos comerciales;;;;;;;;;x;
WEDETRARI_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WEDETRARI_1;Отказ в праве на торговлю!;Droits commerciaux !;Handelsrechte!;;ЎDerechos comerciales!;;;;;;;;;x;
WEDETRARI_2;$MONARCHTITLE$, мы отказались предоставить эксклюзивное право на;$MONARCHTITLE$, nous avons refusй d’accorder;$MONARCHTITLE$, wir haben die Vergabe von;;$MONARCHTITLE$, hemos rehusado conceder;;;;;;;;;x;
WEDETRARI_3;§Yторговлю товаром $GOODS$§W;des droits commerciaux sur les §Y$GOODS$§W;§Y$GOODS$ Handelsrechten§W;;§Y$GOODS$ derechos comerciales§W;;;;;;;;;x;
WEDETRARI_4;бесцеремонным купцам державы;aux prйsomptueux marchands de;an die Hдndler von;;a los presuntuosos mercaderes de;;;;;;;;;x;
WEDETRARI_5;$ACTOR$.;$ACTOR$;$ACTOR$ abgelehnt.;$ACTORS$.;$ACTOR$;$ACTORS$.;$ACTORS$;$ACTORS$;;;;;;x;
WEDETRARI_6;Надеемся, они больше не побеспокоят нас такими абсурдными просьбами!;Espйrons qu’ils ne nous embкteront plus !;Hoffentlich belдstigen sie uns nicht weiter damit.;;ЎEsperemos que no vuelvan a molestarnos de nuevo con esa tonterнa!;;;;;;;;;x;
